"id", "Product Name", "Quantity", "Price", "Date Purchased"
"34", "Caramel Latte", "11", "3.8", "Fri Jun 26 2020 00:00:00 GMT+0300 (Eastern European Summer Time)"
"35", "Black Tea", "4", "2.25", "Fri Oct 23 2020 00:00:00 GMT+0300 (Eastern European Summer Time)"
"36", "Espresso Truffle", "6", "1.75", "Tue Sep 15 2020 00:00:00 GMT+0300 (Eastern European Summer Time)"
"37", "Black Tea", "7", "2.25", "Tue Sep 15 2020 00:00:00 GMT+0300 (Eastern European Summer Time)"
"38", "Espresso Truffle", "11", "1.75", "Fri May 08 2020 00:00:00 GMT+0300 (Eastern European Summer Time)"
"39", "White Chocolate Mocha", "9", "3.6", "Mon Oct 26 2020 00:00:00 GMT+0200 (Eastern European Standard Time)"
"40", "Doubleshot Espresso", "2", "3.3", "Thu May 21 2020 00:00:00 GMT+0300 (Eastern European Summer Time)"
"41", "Caramel Latte", "6", "3.8", "Tue Jun 23 2020 00:00:00 GMT+0300 (Eastern European Summer Time)"
"42", "Doubleshot Espresso", "4", "3.3", "Sat Nov 07 2020 00:00:00 GMT+0200 (Eastern European Standard Time)"
"43", "Green Tea", "2", "1.5", "Fri Jan 31 2020 00:00:00 GMT+0200 (Eastern European Standard Time)"
"44", "Peppermint Mocha Twist", "1", "4", "Mon Jul 13 2020 00:00:00 GMT+0300 (Eastern European Summer Time)"
"45", "Peppermint Mocha Twist", "4", "4", "Sat Apr 18 2020 00:00:00 GMT+0300 (Eastern European Summer Time)"
"46", "Cappuccino", "8", "5", "Sat Sep 12 2020 00:00:00 GMT+0300 (Eastern European Summer Time)"
"47", "Green Tea", "3", "1.5", "Wed Aug 12 2020 00:00:00 GMT+0300 (Eastern European Summer Time)"
"48", "Caffe Americano", "7", "2.5", "Sun Nov 15 2020 00:00:00 GMT+0200 (Eastern European Standard Time)"
"49", "Espresso Truffle", "6", "1.75", "Thu Nov 26 2020 00:00:00 GMT+0200 (Eastern European Standard Time)"
